query_id,recommended_indexes,llm_reasoning_text,execution_time_ms_after,improvement_vs_baseline
13a,CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_movie_info_idx_movie_id ON movie_info_idx(movie_id);; CREATE INDEX idx_movie_info_idx_info_type_id ON movie_info_idx(info_type_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_movie_companies_company_type_id ON movie_companies(company_type_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_kind_id ON title(kind_id);; CREATE INDEX idx_kind_type_kind ON kind_type(kind);; CREATE INDEX idx_info_type_info ON info_type(info);,"Indexes on kind_id, info_type, and company join columns speed up German production movie rating queries.",2218.62,36.5%
13b,CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_movie_info_idx_movie_id ON movie_info_idx(movie_id);; CREATE INDEX idx_movie_info_idx_info_type_id ON movie_info_idx(info_type_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_kind_id ON title(kind_id);; CREATE INDEX idx_kind_type_kind ON kind_type(kind);; CREATE INDEX idx_info_type_info ON info_type(info);,Indexes on info_type lookups and FK columns reduce cost for US production company title LIKE searches.,465.736,82.7%
13c,CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_movie_info_idx_movie_id ON movie_info_idx(movie_id);; CREATE INDEX idx_movie_info_idx_info_type_id ON movie_info_idx(info_type_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_kind_id ON title(kind_id);; CREATE INDEX idx_kind_type_kind ON kind_type(kind);; CREATE INDEX idx_info_type_info ON info_type(info);,Same as 13b with prefix LIKE filter; FK and info_type indexes are equally beneficial.,348.76,86.4%
13d,CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_movie_info_idx_movie_id ON movie_info_idx(movie_id);; CREATE INDEX idx_movie_info_idx_info_type_id ON movie_info_idx(info_type_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_title_kind_id ON title(kind_id);; CREATE INDEX idx_kind_type_kind ON kind_type(kind);; CREATE INDEX idx_info_type_info ON info_type(info);,Broader version of 13b/c without title filter; same join column indexes reduce full scan costs.,2240.586,40.8%
14a,CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_movie_info_idx_movie_id ON movie_info_idx(movie_id);; CREATE INDEX idx_movie_info_idx_info_type_id ON movie_info_idx(info_type_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_title_kind_id ON title(kind_id);; CREATE INDEX idx_kind_type_kind ON kind_type(kind);; CREATE INDEX idx_keyword_keyword ON keyword(keyword);; CREATE INDEX idx_info_type_info ON info_type(info);,"Indexes on keyword, movie_info, movie_info_idx, and title join/filter columns speed up country/rating movie search.",1012.683,23.4%
14b,CREATE INDEX idx_info_type_info ON info_type(info);; CREATE INDEX idx_keyword_keyword ON keyword(keyword);; CREATE INDEX idx_kind_type_kind ON kind_type(kind);; CREATE INDEX idx_title_kind_id ON title(kind_id);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_movie_info_info ON movie_info(info);; CREATE INDEX idx_movie_info_idx_movie_id ON movie_info_idx(movie_id);; CREATE INDEX idx_movie_info_idx_info_type_id ON movie_info_idx(info_type_id);; CREATE INDEX idx_movie_info_idx_info ON movie_info_idx(info);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);,"Indexes on lookup columns (info_type, keyword, kind_type) and FK joins (movie_info, movie_info_idx, movie_keyword) speed up multi-table filtering and joins.",154.425,86.3%
14c,CREATE INDEX idx_info_type_info ON info_type(info);; CREATE INDEX idx_keyword_keyword ON keyword(keyword);; CREATE INDEX idx_kind_type_kind ON kind_type(kind);; CREATE INDEX idx_title_kind_id ON title(kind_id);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_movie_info_info ON movie_info(info);; CREATE INDEX idx_movie_info_idx_movie_id ON movie_info_idx(movie_id);; CREATE INDEX idx_movie_info_idx_info_type_id ON movie_info_idx(info_type_id);; CREATE INDEX idx_movie_info_idx_info ON movie_info_idx(info);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);,Same join pattern as 14b; indexes on FK and filter columns eliminate large sequential scans across fact tables.,864.276,41.4%
15a,CREATE INDEX idx_info_type_info ON info_type(info);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_aka_title_movie_id ON aka_title(movie_id);; CREATE INDEX idx_title_production_year ON title(production_year);,"Indexes on company_name.country_code and FK columns enable fast filtering and joining across movie_companies, movie_info, and aka_title.",942.848,6.6%
15b,CREATE INDEX idx_info_type_info ON info_type(info);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_company_name_name ON company_name(name);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_aka_title_movie_id ON aka_title(movie_id);; CREATE INDEX idx_title_production_year ON title(production_year);,Additional index on company_name.name supports the 'YouTube' equality filter narrowing the company lookup quickly.,11.839,97.8%
15c,CREATE INDEX idx_info_type_info ON info_type(info);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_aka_title_movie_id ON aka_title(movie_id);; CREATE INDEX idx_title_production_year ON title(production_year);,Indexes on FK join columns and country_code reduce scan costs for the wider production-year range filter.,1107.07,-46.0%
15d,CREATE INDEX idx_info_type_info ON info_type(info);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_aka_title_movie_id ON aka_title(movie_id);; CREATE INDEX idx_title_production_year ON title(production_year);,Same join topology as 15c; FK and filter indexes support efficient multi-table join execution.,635.445,8.9%
16a,CREATE INDEX idx_keyword_keyword ON keyword(keyword);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_aka_name_person_id ON aka_name(person_id);; CREATE INDEX idx_title_episode_nr ON title(episode_nr);,"Indexes on episode_nr, keyword, country_code, and FK columns speed up filtering and joining across cast_info, aka_name, and movie_keyword.",614.072,80.6%
16b,CREATE INDEX idx_keyword_keyword ON keyword(keyword);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_aka_name_person_id ON aka_name(person_id);,Same structure as 16a without episode_nr; FK and keyword/country_code indexes drive efficient join lookups.,19897.29,-208.2%
16c,CREATE INDEX idx_keyword_keyword ON keyword(keyword);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_aka_name_person_id ON aka_name(person_id);; CREATE INDEX idx_title_episode_nr ON title(episode_nr);,Index on episode_nr supports the upper-bound range filter while FK indexes accelerate all join paths.,1987.921,47.2%
16d,CREATE INDEX idx_keyword_keyword ON keyword(keyword);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_aka_name_person_id ON aka_name(person_id);; CREATE INDEX idx_title_episode_nr ON title(episode_nr);,episode_nr range index narrows the title scan; remaining indexes cover all FK join columns efficiently.,1128.074,61.7%
17a,CREATE INDEX idx_keyword_keyword ON keyword(keyword);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_name_name ON name(name);,Index on name.name supports the prefix LIKE 'B%' filter; FK indexes accelerate the multi-table join chain.,17679.589,-247.7%
17b,CREATE INDEX idx_keyword_keyword ON keyword(keyword);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_name_name ON name(name);,name.name index supports 'Z%' prefix scan; keyword and FK indexes drive the join from keyword through to name.,14374.036,-183.5%
17c,CREATE INDEX idx_keyword_keyword ON keyword(keyword);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_name_name ON name(name);,Same pattern as 17b with 'X%' prefix; name and keyword indexes give selective entry points into the join.,4523.301,-33.1%
17d,CREATE INDEX idx_keyword_keyword ON keyword(keyword);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_name_name ON name(name);,"Infix LIKE '%Bert%' cannot use b-tree index fully, but keyword and FK indexes still accelerate all join paths.",14356.188,-351.2%
17e,CREATE INDEX idx_keyword_keyword ON keyword(keyword);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);,country_code and keyword equality indexes provide selective starting points; FK indexes cover all join columns efficiently.,14712.967,-204.4%
17f,CREATE INDEX idx_keyword_keyword ON keyword(keyword);; CREATE INDEX idx_movie_keyword_keyword_id ON movie_keyword(keyword_id);; CREATE INDEX idx_movie_keyword_movie_id ON movie_keyword(movie_id);; CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_name_name ON name(name);,"Join indexes on movie_id, keyword lookup, and name LIKE filter accelerate multi-table join.",18075.315,-396.6%
18a,CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_cast_info_note ON cast_info(note);; CREATE INDEX idx_name_name ON name(name);; CREATE INDEX idx_name_gender ON name(gender);; CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_movie_info_idx_movie_id ON movie_info_idx(movie_id);; CREATE INDEX idx_movie_info_idx_info_type_id ON movie_info_idx(info_type_id);; CREATE INDEX idx_info_type_info ON info_type(info);,"Indexes on join keys and filter columns (note, gender, name, info_type) reduce scan costs.",11807.835,-436.0%
18b,CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_note ON cast_info(note);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_name_gender ON name(gender);; CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_movie_info_info ON movie_info(info);; CREATE INDEX idx_movie_info_idx_movie_id ON movie_info_idx(movie_id);; CREATE INDEX idx_movie_info_idx_info_type_id ON movie_info_idx(info_type_id);; CREATE INDEX idx_movie_info_idx_info ON movie_info_idx(info);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_info_type_info ON info_type(info);,Genre/rating filters on movie_info and production_year range on title benefit from dedicated indexes.,975.723,27.4%
18c,CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_note ON cast_info(note);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_name_gender ON name(gender);; CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_movie_info_info ON movie_info(info);; CREATE INDEX idx_movie_info_idx_movie_id ON movie_info_idx(movie_id);; CREATE INDEX idx_movie_info_idx_info_type_id ON movie_info_idx(info_type_id);; CREATE INDEX idx_info_type_info ON info_type(info);,Same pattern as 18b; genre IN-list filter and join key indexes reduce multi-table join cost.,11050.555,-486.1%
19a,CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_cast_info_role_id ON cast_info(role_id);; CREATE INDEX idx_cast_info_person_role_id ON cast_info(person_role_id);; CREATE INDEX idx_cast_info_note ON cast_info(note);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_name_gender ON name(gender);; CREATE INDEX idx_name_name ON name(name);; CREATE INDEX idx_aka_name_person_id ON aka_name(person_id);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_role_type_role ON role_type(role);; CREATE INDEX idx_info_type_info ON info_type(info);,Complex 10-table join requires indexes on all FK/join columns plus selective filter columns.,556.913,82.3%
19b,CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_cast_info_role_id ON cast_info(role_id);; CREATE INDEX idx_cast_info_person_role_id ON cast_info(person_role_id);; CREATE INDEX idx_cast_info_note ON cast_info(note);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_name_gender ON name(gender);; CREATE INDEX idx_name_name ON name(name);; CREATE INDEX idx_aka_name_person_id ON aka_name(person_id);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_role_type_role ON role_type(role);; CREATE INDEX idx_info_type_info ON info_type(info);,Same join structure as 19a with tighter filters; same indexes ensure efficient lookup and join.,292.913,83.5%
19c,CREATE INDEX idx_cast_info_movie_id ON cast_info(movie_id);; CREATE INDEX idx_cast_info_person_id ON cast_info(person_id);; CREATE INDEX idx_cast_info_role_id ON cast_info(role_id);; CREATE INDEX idx_cast_info_person_role_id ON cast_info(person_role_id);; CREATE INDEX idx_cast_info_note ON cast_info(note);; CREATE INDEX idx_movie_companies_movie_id ON movie_companies(movie_id);; CREATE INDEX idx_movie_companies_company_id ON movie_companies(company_id);; CREATE INDEX idx_company_name_country_code ON company_name(country_code);; CREATE INDEX idx_movie_info_movie_id ON movie_info(movie_id);; CREATE INDEX idx_movie_info_info_type_id ON movie_info(info_type_id);; CREATE INDEX idx_name_gender ON name(gender);; CREATE INDEX idx_name_name ON name(name);; CREATE INDEX idx_aka_name_person_id ON aka_name(person_id);; CREATE INDEX idx_title_production_year ON title(production_year);; CREATE INDEX idx_role_type_role ON role_type(role);; CREATE INDEX idx_info_type_info ON info_type(info);,Identical structure to 19a/19b; join key indexes and filter indexes cover all predicates.,2945.083,-17.0%
